PART NO,VENDOR CODE,VENDOR,GENDER,STYLE,ITEM,SIZE,COLOR,DESCRIPTION,QTY $,DLR $,RTL $,IMAGE NAME A,IMAGE NAME B,IMAGE NAME C,UPC CODE,AL - QTY,MA - QTY,NV - QTY,TOTAL QTY,LBS,KGM,STATUS,ORIGIN
041-734,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,LG,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284351    ,10,10,10,10,5.4,2.48,N,Vietnam
041-735,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,XL,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284352    ,10,1,8,10,5.45,2.51,N,Vietnam
041-736,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,2XL,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",122.99,129.14,204.99,,,,284353    ,10,4,2,10,5.35,2.46,N,Vietnam
041-751,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,XS,MC-5SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284360    ,0,0,1,1,5.35,2.46,N,Vietnam
041-752,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,SM,MC-5SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284361    ,8,8,10,10,5.35,2.46,N,Vietnam
041-753,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,MD,MC-5SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284362    ,10,0,10,10,5.3,2.44,N,Vietnam
041-754,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,LG,MC-5SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284363    ,0,0,6,6,5.4,2.48,N,Vietnam
041-755,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,XL,MC-5SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284364    ,8,0,10,10,5.45,2.51,N,Vietnam
041-756,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,2XL,MC-5SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",122.99,129.14,204.99,,,,284365    ,10,5,7,10,5.35,2.46,N,Vietnam
041-781,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,XS,MC-8SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284366    ,0,0,2,2,5.35,2.46,N,Vietnam
041-782,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,SM,MC-8SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284367    ,0,0,0,0,5.35,2.46,N,Vietnam
041-783,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,MD,MC-8SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284368    ,0,0,0,0,5.3,2.44,N,Vietnam
041-784,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3SN Songtan Framed Electric,LG,MC-8SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",119.99,125.99,199.99,,,,284369    ,0,0,0,0,5.4,2.48,N,Vietnam
043-711,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,XS,MC-1SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-711.jpg,,,284791    ,5,0,0,5,5.35,2.46,N,Vietnam
043-712,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,SM,MC-1SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-711.jpg,,,284792    ,10,10,9,10,5.3,2.44,N,Vietnam
043-713,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,MD,MC-1SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-711.jpg,,,284793    ,10,10,10,10,5.4,2.48,N,Vietnam
043-714,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,LG,MC-1SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-711.jpg,,,284794    ,10,10,10,10,5.45,2.51,N,Vietnam
043-715,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,XL,MC-1SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-711.jpg,,,284795    ,10,10,10,10,5.35,2.46,N,Vietnam
043-716,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,2XL,MC-1SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",122.99,129.14,204.99,043-711.jpg,,,284796    ,10,10,10,10,5.35,2.46,N,Vietnam
043-721,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,XS,MC-2SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-721.jpg,,,284797    ,5,3,0,8,5.35,2.46,N,Vietnam
043-722,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,SM,MC-2SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-721.jpg,,,284798    ,10,10,9,10,5.3,2.44,N,Vietnam
043-723,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,MD,MC-2SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-721.jpg,,,284799    ,10,10,10,10,5.4,2.48,N,Vietnam
043-724,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,LG,MC-2SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-721.jpg,,,284800    ,10,10,10,10,5.45,2.51,N,Vietnam
043-725,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,XL,MC-2SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-721.jpg,,,284801    ,10,10,10,10,5.35,2.46,N,Vietnam
043-726,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,2XL,MC-2SF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",122.99,129.14,204.99,043-721.jpg,,,284802    ,10,10,7,10,5.35,2.46,N,Vietnam
043-731,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,XS,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-731.jpg,,,284815    ,5,0,1,6,5.35,2.46,N,Vietnam
043-732,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,SM,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-731.jpg,,,284816    ,10,7,5,10,5.3,2.44,N,Vietnam
043-733,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,MD,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-731.jpg,,,284817    ,10,10,10,10,5.4,2.48,N,Vietnam
043-734,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,LG,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-731.jpg,,,284818    ,10,10,10,10,5.45,2.51,N,Vietnam
043-735,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Trion Frameless Electric,XL,MC-3HSF," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & frameless electric shield installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards",119.99,125.99,199.99,043-731.jpg,,,284819    ,10,10,10,10,5.35,2.46,N,Vietnam
